meanA,meanAstd,meangstd,stdmeanA,stdstda,meang,skewmeanA,skewstdA,skewG,minmeanA,minstdA,minG,maxmeanA,maxstdA,maxmG,kurtmeanA,kurtstdA,kurtG,entromeanA,entrostdA,entroG,iqrmeanA,iqrstdA,iqrG,class
1.007686626,0.018862858,0.089376354,0.01094091,0.015045894,0.089376354,-0.579433832,1.064359808,0.458968578,0.973316843,0.001630704,0.007958923,1.03559054,0.073118302,0.188712191,0.906966942,1.849834975,-0.06414514,4.605111116,4.359541688,4.509075512,0.013117582,0.015819506,0.041500069,1
1.007915528,0.018862858,0.243552375,0.021759528,0.015045894,0.243552375,0.743400728,1.064359808,0.49043887,0.968403924,0.001630704,0.065153047,1.07095029,0.073118302,0.490925643,0.499623455,1.849834975,-0.642523677,4.604938336,4.359541688,4.509141225,0.028393799,0.015819506,0.16894627,1
1.011385618,0.018862858,0.245481915,0.0165718,0.015045894,0.245481915,1.685904002,1.064359808,0.648249914,0.985223636,0.001630704,0.045276322,1.07095029,0.073118302,0.550431695,3.528050882,1.849834975,-0.337075681,4.605037146,4.359541688,4.4546624,0.012625506,0.015819506,0.169721773,1
1.006739363,0.018862858,0.1720314,0.008487119,0.015045894,0.1720314,-0.09053339,1.064359808,1.022090429,0.984525593,0.001630704,0.007536636,1.027874002,0.073118302,0.550431695,0.064247991,1.849834975,-0.386797308,4.605134641,4.359541688,4.173421451,0.009971833,0.015819506,0.235067872,1
1.022107113,0.018862858,0.381284758,0.056177335,0.015045894,0.381284758,0.698377146,1.064359808,0.248229541,0.921217801,0.001630704,0.080820287,1.187468114,0.073118302,0.669685954,0.714044734,1.849834975,-1.07624918,4.603676404,4.359541688,4.51907939,0.064954977,0.015819506,0.250844584,1
1.007704455,0.018089447,0.405387887,0.011082901,0.009740532,0.405387887,0.179231483,0.192736817,0.077571978,0.983476868,0.001563785,0.11588539,1.033845544,0.037616264,0.703756641,-0.185737611,-1.095774099,-1.482982224,4.605109742,4.449553491,4.508835748,0.012822859,0.015865907,0.330907632,1
1.004241313,0.006683266,0.064591415,0.003802487,0.004613144,0.064591415,0.512021188,0.805827706,0.691571451,0.99688157,0.000187792,0.020898156,1.013974912,0.02034192,0.137181695,-0.186730271,-0.092175989,-0.935669417,4.605163022,4.369781852,4.474173736,0.004550327,0.006587912,0.054789651,1
1.005097689,0.007100494,0.19463147,0.004096805,0.004321788,0.19463147,-0.585115089,1.13977631,-0.414403599,0.992958503,0.000787466,0.084141334,1.015519513,0.020851891,0.279260157,0.723818609,0.98538777,-1.005178844,4.605161872,4.431848399,4.560935957,0.005455811,0.004549605,0.101049742,1
1.003951377,0.00584077,0.106042105,0.003951694,0.004292134,0.106042105,0.438719315,1.28661104,0.431097576,0.995072285,0.000214802,0.027447587,1.014263578,0.01954239,0.221321779,0.000459513,0.907668681,0.260567657,4.605162444,4.364508849,4.529256313,0.004527937,0.004538329,0.046126035,1
1.004516358,0.0062735,0.125700312,0.004548323,0.003555378,0.125700312,-0.085523981,0.894785965,0.381805254,0.994626654,0.000214802,0.027447587,1.013307173,0.017979426,0.238052998,-0.740956576,0.550371326,-0.685662833,4.605159934,4.448050922,4.497185217,0.007052644,0.004388554,0.082033124,1
